Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability
Shree Vastupurti Hill View Complex ,"D317, Adaigaon, Navi Mumbai, Mumbai",26.5 Lac,"8,255",Carpet area: 321 (29.82 sq.m.),1.0,1.0,3rd  ,5 to 10 Year Old, Ready to move
Suyash Atmaram Park ," Virar West, Mira Road And Beyond, Mumbai",42.5 Lac,"5,666",Super Built up area 750(69.68 sq.m.)Carpet area: 360 sq.ft. (33.45 sq.m.),1.0,2.0,7th  ,1 to 5 Year Old, Ready to move
Dattani Tower ," Borivali West, Mumbai Andheri-Dahisar, Mumbai",2.7 Crore,"23,057",Built Up area: 1171 (108.79 sq.m.),3.0,3.0,9th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099,"Flat 103 Malhar Chs, Vartak Nagar, Thane, Mumbai",1.3 Crore,"14,857",Built Up area: 875 (81.29 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,2.0,1st  ,10+ Year Old, Ready to move
Sunshine Infinity ,"501, Wadala, Mumbai Harbour, Mumbai",5.75 Crore,"22,549",Super Built up area 2550(236.9 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),4.0,3.0,5th  ,1 to 5 Year Old, Ready to move
Arihant Anshula ," Taloja, Navi Mumbai, Mumbai",35 Lac,"4,666",Built Up area: 750 (69.68 sq.m.)Carpet area: 420 sq.ft. (39.02 sq.m.),1.0,1.0,2nd  ,1 to 5 Year Old, Ready to move
Lodha Palava Downtown ," Dombivli East, Mumbai Beyond Thane, Mumbai",75 Lac,"8,731",Super Built up area 1374(127.65 sq.m.)Carpet area: 859 sq.ft. (79.8 sq.m.),3.0,2.0,11st  ,1 to 5 Year Old, Ready to move
Dipti Sweta CHS ," Jogeshwari East, Mumbai Andheri-Dahisar, Mumbai",1.35 Crore,"20,769",Super Built up area 650(60.39 sq.m.)Carpet area: 452 sq.ft. (41.99 sq.m.),1.0,2.0,4th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Vindhane, Navi Mumbai, Mumbai",2 Lac,183,Plot area 1089(101.17 sq.m.)l x b : 32 ft.(9.98 mt.) x 31 ft.(9.66 mt.),,,,Immediate, Ready to move
Toll Free 1800 41 99099," Worli Seaface, South Mumbai, Mumbai",3.25 Crore,"47,653",Carpet area: 682 (63.36 sq.m.),1.0,1.0,1st  ,10+ Year Old, Ready to move
K Raheja Nest ," Andheri East, Mumbai Andheri-Dahisar, Mumbai",1.8 Crore,"18,274",Built Up area: 985 (91.51 sq.m.)Carpet area: 738 sq.ft. (68.56 sq.m.),2.0,2.0,1st  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Andheri West, Mumbai Andheri-Dahisar, Mumbai",3.7 Crore,"33,636",Carpet area: 1100 (102.19 sq.m.),3.0,3.0,3rd  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Andheri West, Mumbai Andheri-Dahisar, Mumbai",1.4 Crore,"33,333",Carpet area: 420 (39.02 sq.m.),1.0,1.0,3rd  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099," Vile Parle East, Mumbai South West, Mumbai",5.35 Crore,"43,495",Carpet area: 1230 (114.27 sq.m.),3.0,3.0,1st  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099,"Swanand Saffire Badlapur East, Badlapur East, Mumbai Beyond Thane, Mumbai",32 Lac,"4,963",Super Built up area 685(63.64 sq.m.),1.0,1.0,5th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Dombivli West, Mumbai Beyond Thane, Mumbai",33.9 Lac,"6,894",Carpet area: 480 (44.59 sq.m.),1.0,2.0,4th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099,"Krishanlal Marwah Marg, Opp. Tata Power, Marol, Andheri East., Andheri East, Mumbai Andheri-Dahisar, Mumbai",2.25 Crore,"16,791",Built Up area: 1009 (93.74 sq.m.)Carpet area: 807 sq.ft. (74.97 sq.m.),2.0,2.0,5th  ,1 to 5 Year Old, Ready to move
Mallhar Bhimashankar Heights ,"New Link Road, Kandarpada, Dahisar West, Kandarpada, Mumbai Andheri-Dahisar, Mumbai",2.1 Crore,"27,272",Carpet area: 770 (71.54 sq.m.),2.0,2.0,14th  ,0 to 1 Year Old, Ready to move Property
Toll Free 1800 41 99099,"Vissanji Park, Dadar East, South Mumbai, Mumbai",2.6 Crore,"27,368",Built Up area: 950 (88.26 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2.0,3.0,1st  ,10+ Year Old, Ready to move
Westin Ravi Kiran CHS ,"101, Azad Nagar, Mumbai Andheri-Dahisar, Mumbai",2.65 Crore,"22,083",Built Up area: 1200 (111.48 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3.0,3.0,1st  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Dronagiri, Navi Mumbai, Mumbai",4 Lac,367,Plot area 1089(101.17 sq.m.),,,4,Immediate, Ready to move
Toll Free 1800 41 99099," Lower Parel West, South Mumbai, Mumbai",2.15 Crore,"43,000",Carpet area: 500 (46.45 sq.m.),1.0,2.0,16th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Kalwa, Thane, Mumbai",80 Lac,"11,267",Carpet area: 710 (65.96 sq.m.),3.0,2.0,1st  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Ambernath East, Mumbai Beyond Thane, Mumbai",35 Lac,"5,000",Built Up area: 700 (65.03 sq.m.),2.0,1.0,3rd  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099,"Rajguru Apartments, Narangi Bypass, Dongarpada, Near John Xxiii High School, Virar West, Virar West, Mira Road And Beyond, Mumbai",45 Lac,"5,232",Super Built up area 860(79.9 sq.m.),2.0,2.0,3rd  ,1 to 5 Year Old, Ready to move
Pawan Vatika ,"Adharwadi Jail Road, Kalyan West, Mumbai Beyond Thane, Mumbai",68 Lac,"7,128",Built Up area: 1010 (93.83 sq.m.)Carpet area: 678 sq.ft. (62.99 sq.m.),2.0,2.0,3rd  ,5 to 10 Year Old, Ready to move
Signature Residency ,"Godhbunder Road, Thane, Patlipada, Thane, Mumbai",1.5 Crore,"11,607",Super Built up area 1120(104.05 sq.m.)Carpet area: 625 sq.ft. (58.06 sq.m.),2.0,2.0,3rd  ,0 to 1 Year Old, Ready to move
